scope,sample,metric,h,model,n,mae,rmse,bias,block
all_models_common,full,monthly,1,STATE_FAST_R15,89,1.1791919273822575,3.918699583394084,-0.29721256699976506,administered
all_models_common,full,monthly,1,STABLE_LOCAL_CORE_R14B,89,1.1791919273822575,3.918699583394084,-0.29721256699976506,administered
all_models_common,full,monthly,1,DAMPED_P95_Q001_R16,89,1.1791919273822575,3.918699583394084,-0.29721256699976506,administered
all_models_common,full,monthly,1,CORE_FEEDBACK_R21,89,1.1791919273822575,3.918699583394084,-0.29721256699976506,administered
all_models_common,full,monthly,1,DUAL_FEEDBACK_R21,89,1.1791919273822575,3.918699583394084,-0.29721256699976506,administered
all_models_common,full,monthly,1,FOOD_FEEDBACK_R21,89,1.1791919273822575,3.918699583394084,-0.29721256699976506,administered
all_models_common,full,monthly,1,POOL_COMPLETE_R21,89,1.1791919273822575,3.918699583394084,-0.29721256699976506,administered
all_models_common,full,monthly,1,POOL_PARTIAL_R21,89,1.1791919273822575,3.918699583394084,-0.297212566999765,administered
all_models_common,full,monthly,1,POOL_PRIOR_R21,89,1.1791919273822575,3.918699583394084,-0.29721256699976506,administered
all_models_common,full,monthly,1,ANCHOR_HL12_R21,89,1.1791919273822575,3.918699583394084,-0.29721256699976506,administered
all_models_common,full,monthly,1,ANCHOR_HL24_R21,89,1.1791919273822575,3.918699583394084,-0.29721256699976506,administered
all_models_common,origins_2019_2021,monthly,1,STATE_FAST_R15,35,0.569945186772026,1.5198437120354003,0.287088043914883,administered
all_models_common,origins_2019_2021,monthly,1,STABLE_LOCAL_CORE_R14B,35,0.569945186772026,1.5198437120354003,0.287088043914883,administered
all_models_common,origins_2019_2021,monthly,1,DAMPED_P95_Q001_R16,35,0.569945186772026,1.5198437120354003,0.287088043914883,administered
all_models_common,origins_2019_2021,monthly,1,CORE_FEEDBACK_R21,35,0.569945186772026,1.5198437120354003,0.287088043914883,administered
all_models_common,origins_2019_2021,monthly,1,DUAL_FEEDBACK_R21,35,0.569945186772026,1.5198437120354003,0.287088043914883,administered
all_models_common,origins_2019_2021,monthly,1,FOOD_FEEDBACK_R21,35,0.569945186772026,1.5198437120354003,0.287088043914883,administered
all_models_common,origins_2019_2021,monthly,1,POOL_COMPLETE_R21,35,0.569945186772026,1.5198437120354003,0.287088043914883,administered
all_models_common,origins_2019_2021,monthly,1,POOL_PARTIAL_R21,35,0.569945186772026,1.5198437120354007,0.28708804391488313,administered
all_models_common,origins_2019_2021,monthly,1,POOL_PRIOR_R21,35,0.569945186772026,1.5198437120354003,0.287088043914883,administered
all_models_common,origins_2019_2021,monthly,1,ANCHOR_HL12_R21,35,0.569945186772026,1.5198437120354003,0.287088043914883,administered
all_models_common,origins_2019_2021,monthly,1,ANCHOR_HL24_R21,35,0.569945186772026,1.5198437120354003,0.287088043914883,administered
all_models_common,origins_2022_2023,monthly,1,STATE_FAST_R15,24,3.2770833333333336,7.3090768340924335,-1.64375,administered
all_models_common,origins_2022_2023,monthly,1,STABLE_LOCAL_CORE_R14B,24,3.2770833333333336,7.3090768340924335,-1.64375,administered
all_models_common,origins_2022_2023,monthly,1,DAMPED_P95_Q001_R16,24,3.2770833333333336,7.3090768340924335,-1.64375,administered
all_models_common,origins_2022_2023,monthly,1,CORE_FEEDBACK_R21,24,3.2770833333333336,7.3090768340924335,-1.64375,administered
all_models_common,origins_2022_2023,monthly,1,DUAL_FEEDBACK_R21,24,3.2770833333333336,7.3090768340924335,-1.64375,administered
all_models_common,origins_2022_2023,monthly,1,FOOD_FEEDBACK_R21,24,3.2770833333333336,7.3090768340924335,-1.64375,administered
all_models_common,origins_2022_2023,monthly,1,POOL_COMPLETE_R21,24,3.2770833333333336,7.3090768340924335,-1.64375,administered
all_models_common,origins_2022_2023,monthly,1,POOL_PARTIAL_R21,24,3.2770833333333336,7.3090768340924335,-1.64375,administered
